"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Properties", "TypeScript", "Markdown", "HTML", "PostCSS", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Диплом\accounting_of_working\test\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\Диплом\accounting_of_working\test\eslint.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\Диплом\accounting_of_working\test\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Диплом\accounting_of_working\test\package-lock.json", "JSON", 0, 0, 4462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4463
"d:\Диплом\accounting_of_working\test\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Диплом\accounting_of_working\test\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Диплом\accounting_of_working\test\src\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Диплом\accounting_of_working\test\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"d:\Диплом\accounting_of_working\test\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 10, 168
"d:\Диплом\accounting_of_working\test\src\app\store.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Диплом\accounting_of_working\test\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Диплом\accounting_of_working\test\src\config.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Диплом\accounting_of_working\test\src\features\adjuster\AdjusterLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 4, 8, 80
"d:\Диплом\accounting_of_working\test\src\features\adjuster\adjuster.html", "HTML", 0, 0, 0, 0, 0, 0, 441, 0, 0, 0, 0, 14, 27, 482
"d:\Диплом\accounting_of_working\test\src\features\admin\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 3, 77
"d:\Диплом\accounting_of_working\test\src\features\admin\api.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 14, 72
"d:\Диплом\accounting_of_working\test\src\features\admin\components\userSearch\userSeacch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\equipments\AddEquipment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1, 13, 126
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\equipments\ListEquipments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 12, 116
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\users\AddUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 13, 129
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\users\ListUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 12, 82
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\users\components\EditUserModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\users\components\UserItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\workshops\AddWorkshop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"d:\Диплом\accounting_of_working\test\src\features\admin\pages\workshops\ListWorkshops.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 9, 99
"d:\Диплом\accounting_of_working\test\src\features\auth\api.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Диплом\accounting_of_working\test\src\features\auth\authSlice.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"d:\Диплом\accounting_of_working\test\src\features\auth\components\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"d:\Диплом\accounting_of_working\test\src\features\auth\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\api.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\components\WorkloadChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 4, 11, 125
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\dispatcherLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 6, 6, 80
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\pages\DispatcherMechanics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 7, 20, 154
